trial_id,sigma_d,rho,phi,theta,seed,C_pc,q_grasp,e_pose,n_grasps,success,obj_z_final,error
123,0.0,0.5,45.0,90.0,123,0.01355,0.2053,0.0423,7,0,0.036,
124,0.0,0.5,45.0,90.0,10124,0.01355,0.19231,0.02037,9,1,0.675,
125,0.0,0.5,45.0,90.0,20125,0.01355,0.2108,0.11216,16,0,0.4616,
126,0.0,0.5,50.0,0.0,126,0.00063,0.29173,0.0721,24,0,0.455,
127,0.0,0.5,50.0,0.0,10127,0.00063,0.29358,0.06808,18,0,0.4553,
128,0.0,0.5,50.0,0.0,20128,0.00063,0.28695,0.08417,22,0,0.455,
129,0.0,0.5,50.0,45.0,129,0.01167,0.20818,0.10024,13,0,0.4601,
130,0.0,0.5,50.0,45.0,10130,0.01167,0.22099,0.0615,16,0,0.4562,
131,0.0,0.5,50.0,45.0,20131,0.01167,0.19892,0.11115,6,0,0.4551,
132,0.0,0.5,50.0,90.0,132,0.01286,0.21368,0.10877,22,0,0.4547,
133,0.0,0.5,50.0,90.0,10133,0.01286,0.20621,0.11005,8,0,0.4587,
134,0.0,0.5,50.0,90.0,20134,0.01286,0.22338,0.04385,16,0,0.036,
135,0.0,0.5,55.0,0.0,135,1e-05,0.21956,0.07306,1,0,0.436,
136,0.0,0.5,55.0,0.0,10136,9.765625e-06,,,0,0,,no_grasps
137,0.0,0.5,55.0,0.0,20137,9.765625e-06,,,0,0,,no_grasps
138,0.0,0.5,55.0,45.0,138,0.01064,0.23234,0.10588,24,0,0.455,
139,0.0,0.5,55.0,45.0,10139,0.01064,0.21238,0.11085,23,0,0.455,
140,0.0,0.5,55.0,45.0,20140,0.01064,0.23709,0.09247,16,0,0.455,
141,0.0,0.5,55.0,90.0,141,0.01181,0.23031,0.02051,17,1,0.675,
142,0.0,0.5,55.0,90.0,10142,0.01181,0.23965,0.11363,27,0,0.455,
143,0.0,0.5,55.0,90.0,20143,0.01181,0.21552,0.09682,20,0,0.436,
144,0.0,0.5,60.0,0.0,144,0.82954,0.1578,0.39197,3,0,0.455,
145,0.0,0.5,60.0,0.0,10145,0.82954,0.16519,0.38928,7,0,0.455,
146,0.0,0.5,60.0,0.0,20146,0.82954,0.17549,0.38544,6,0,0.455,
147,0.0,0.5,60.0,45.0,147,0.00948,0.25369,0.10327,23,0,0.455,
148,0.0,0.5,60.0,45.0,10148,0.00948,0.23736,0.09949,24,0,0.455,
149,0.0,0.5,60.0,45.0,20149,0.00948,0.24001,0.102,24,0,0.455,
150,0.0,0.5,60.0,90.0,150,0.00971,0.28071,0.06211,20,0,0.036,
151,0.0,0.5,60.0,90.0,10151,0.00971,0.28509,0.08447,19,0,0.4587,
152,0.0,0.5,60.0,90.0,20152,0.00971,0.27916,0.0836,23,0,0.436,
153,0.0,0.5,65.0,0.0,153,0.88555,0.17293,0.29278,13,0,0.455,
154,0.0,0.5,65.0,0.0,10154,0.88555,0.18177,0.2888,19,0,0.455,
155,0.0,0.5,65.0,0.0,20155,0.88555,0.17409,0.19181,14,0,0.455,
156,0.0,0.5,65.0,45.0,156,0.00818,0.21936,0.12128,23,0,0.436,
157,0.0,0.5,65.0,45.0,10157,0.00818,0.24059,0.1084,25,0,0.455,
158,0.0,0.5,65.0,45.0,20158,0.00818,0.23918,0.11068,26,0,0.455,
159,0.0,0.5,65.0,90.0,159,0.00615,0.28582,0.0689,24,0,0.4623,
160,0.0,0.5,65.0,90.0,10160,0.00615,0.28504,0.06139,30,0,0.4622,
161,0.0,0.5,65.0,90.0,20161,0.00615,0.28218,0.07828,20,0,0.436,
162,0.0,0.25,30.0,0.0,162,0.00999,0.29341,0.03968,22,1,0.675,
163,0.0,0.25,30.0,0.0,10163,0.00999,0.29385,0.04422,34,1,0.675,
164,0.0,0.25,30.0,0.0,20164,0.00999,0.29385,0.04119,29,1,0.675,
165,0.0,0.25,30.0,45.0,165,0.01426,0.15208,0.08742,1,0,0.4549,
166,0.0,0.25,30.0,45.0,10166,0.014264322916666667,,,0,0,,no_grasps
167,0.0,0.25,30.0,45.0,20167,0.014264322916666667,,,0,0,,no_grasps
168,0.0,0.25,30.0,90.0,168,0.014651692708333334,,,0,0,,no_grasps
169,0.0,0.25,30.0,90.0,10169,0.01465,0.15583,0.10084,1,0,0.455,
170,0.0,0.25,30.0,90.0,20170,0.01465,0.16902,0.09583,3,0,0.455,
171,0.0,0.25,45.0,0.0,171,0.00317,0.29358,0.07878,20,0,0.455,
172,0.0,0.25,45.0,0.0,10172,0.00317,0.29222,0.07453,18,0,0.455,
173,0.0,0.25,45.0,0.0,20173,0.00317,0.29294,0.0713,19,0,0.455,
174,0.0,0.25,45.0,45.0,174,0.01258,0.16807,0.06624,2,0,0.455,
175,0.0,0.25,45.0,45.0,10175,0.01258,0.19587,0.10903,7,0,0.036,
176,0.0,0.25,45.0,45.0,20176,0.01258,0.21525,0.09832,10,0,0.455,
177,0.0,0.25,45.0,90.0,177,0.01355,0.18607,0.09297,5,0,0.4585,
178,0.0,0.25,45.0,90.0,10178,0.01355,0.21145,0.06029,9,0,0.036,
179,0.0,0.25,45.0,90.0,20179,0.01355,0.2186,0.09409,7,0,0.4548,
180,0.0,0.25,50.0,0.0,180,0.00063,0.28298,0.07965,6,0,0.455,
181,0.0,0.25,50.0,0.0,10181,0.00063,0.29079,0.07346,7,0,0.4551,
182,0.0,0.25,50.0,0.0,20182,0.00063,0.2933,0.08164,9,0,0.455,
183,0.0,0.25,50.0,45.0,183,0.01167,0.22366,0.09458,8,0,0.4558,
184,0.0,0.25,50.0,45.0,10184,0.01167,0.2149,0.09973,9,0,0.455,
185,0.0,0.25,50.0,45.0,20185,0.01167,0.20424,0.02051,6,1,0.675,
186,0.0,0.25,50.0,90.0,186,0.01286,0.19624,0.0878,4,0,0.4549,
187,0.0,0.25,50.0,90.0,10187,0.01286,0.21684,0.09029,6,0,0.4548,
